System Informer 3.2.2103
Windows NT 10.0 (64-bit)
6:10:45 AM 20/07/2026

TID	CPU	Start address																																				Priority (symbolic)	Priority	CPU (user)	Cycles		Cycles delta	Context switches	Ideal processor	Name		Priority boost	Service	Stack usage		Start module															
10688	0.86	Overwatch.exe+0x265a4e8																																			Normal			9		0.65		1,268,017,918	691,909		404,994			0:9							204 kB | 1 MB (19.92%)																	
10980		Overwatch.exe+0x2678fa0																																			Normal			9				2,963,421	1,207		183,173			0:8							32 kB | 1 MB (3.12%)																	
11808		Overwatch.exe+0x2678fa0																																			Normal			9				2,208,220	4,343		126,715			0:6							32 kB | 1 MB (3.12%)																	
11136		Overwatch.exe+0x2678fa0																																			Normal			9				1,973,050			42,933			0:10							16 kB | 1 MB (1.56%)																	
11080		Overwatch.exe+0x2678fa0																																			Normal			8				1,115,188	1,694		19,526			0:6							128 kB | 1 MB (12.50%)																	
6944		Overwatch.exe+0x2678fa0																																			Normal			8				703,068		370		19,645			0:10							64 kB | 1 MB (6.25%)																	
11012		Overwatch.exe+0x2678fa0																																			Normal			9				671,719		3,172		3,442			0:13							256 kB | 1 MB (25.00%)																	
11072		Overwatch.exe+0x2678fa0																																			Normal			8				641,212		389		38,768			0:5							32 kB | 1 MB (3.12%)																	
15040		vivoxsdk.dll!vxunity_unregister_tap+0x2042d0																																Normal			8				482,987		926		5,265			0:11							16 kB | 1 MB (1.56%)	\Device\HarddiskVolume3\Program Files (x86)\Overwatch\_retail_\vivoxsdk.dll							
7288		vivoxsdk.dll!vxunity_unregister_tap+0x2042d0																																Time critical		15				421,451		1,327		13,491			0:12							12 kB | 1 MB (1.17%)	\Device\HarddiskVolume3\Program Files (x86)\Overwatch\_retail_\vivoxsdk.dll							
11168		bink2w64.dll!BinkOpenXAudio29+0xab40																																	Normal			9				309,709				90			0:2		BinkAsy0				96 kB | 1 MB (9.38%)	\Device\HarddiskVolume3\Program Files (x86)\Overwatch\_retail_\bink2w64.dll							
11156		Overwatch.exe+0x2678fa0																																			Normal			10				289,104		70		1,981			0:15							36 kB | 1 MB (3.52%)																	
11172		bink2w64.dll!BinkOpenXAudio29+0xab40																																	Normal			9				286,671				101			0:3		BinkAsy1				96 kB | 1 MB (9.38%)	\Device\HarddiskVolume3\Program Files (x86)\Overwatch\_retail_\bink2w64.dll							
10992		Overwatch.exe+0x2678fa0																																			Normal			10				253,391		104		3,919			0:11							64 kB | 1 MB (6.25%)																	
10988		Overwatch.exe+0x2678fa0																																			Normal			9				248,519				1,418			0:10							256 kB | 1 MB (25.00%)																	
11024		Overwatch.exe+0x1d7e430																																			Normal			8				244,324		90		9,803			0:12							12 kB | 1 MB (1.17%)																	
10948		Overwatch.exe+0x2678fa0																																			Normal			9				236,790				69			0:1							128 kB | 1 MB (12.50%)																	
11036		Overwatch.exe+0x2859f90																																			Normal			9				206,935				79			0:13							128 kB | 1 MB (12.50%)																	
2592		dxgi.dll!FullscreenWatchdogThreadWorker																																	Normal			8				179,054		70		3,973			0:9							12 kB | 1 MB (1.17%)	\Device\HarddiskVolume7\Windows\System32\dxgi.dll										
11056		Overwatch.exe+0x28e0920																																			Above normal		10				82,433				336			0:1							128 kB | 1 MB (12.50%)																	
11052		Overwatch.exe+0x28e0920																																			Above normal		10				78,164		270		1,423			0:0							128 kB | 1 MB (12.50%)																	
11008		Overwatch.exe+0x2678fa0																																			Normal			8				56,497		16		1,959			0:12							64 kB | 1 MB (6.25%)																	
10916		InputHost.dll!<lambda_376318154f061e76a4fa5387c7eed0ca>::<lambda_invoker_cdecl>																												Normal			15				42,309				103			0:13							12 kB | 1 MB (1.17%)	\Device\HarddiskVolume7\Windows\System32\InputHost.dll										
10976		Overwatch.exe+0x2678fa0																																			Normal			9				29,201				53			0:7							64 kB | 1 MB (6.25%)																	
944		dxgi.dll!ThreadAffinitizedWorkerThread<enum MUTEX_COMMANDS>::WorkerThread																												Normal			9				28,776				68			0:7							12 kB | 1 MB (1.17%)	\Device\HarddiskVolume7\Windows\System32\dxgi.dll										
13388		ntdll.dll!TppWorkerThread																																		Normal			8				25,704				9			0:0							12 kB | 1 MB (1.17%)	\Device\HarddiskVolume7\Windows\System32\ntdll.dll										
2700		vivoxsdk.dll!vxunity_unregister_tap+0x2042d0																																Normal			8				25,122		21		270			0:7							12 kB | 1 MB (1.17%)	\Device\HarddiskVolume3\Program Files (x86)\Overwatch\_retail_\vivoxsdk.dll							
5332		mswsock.dll!SockAsyncThread																																		Above normal		11				24,440				33			0:6							12 kB | 1 MB (1.17%)	\Device\HarddiskVolume7\Windows\System32\mswsock.dll										
14144		ntdll.dll!TppWorkerThread																																		Normal			8				24,151				1			0:6							8 kB | 1 MB (0.78%)	\Device\HarddiskVolume7\Windows\System32\ntdll.dll										
5824		ntdll.dll!TppWorkerThread																																		Normal			8				23,731				1			0:3							12 kB | 1 MB (1.17%)	\Device\HarddiskVolume7\Windows\System32\ntdll.dll										
7816		amdihk64.dll!NotifyFidelityFXGameVersion+0x37a0																																Normal			8				23,321				1			0:15							12 kB | 1 MB (1.17%)	\Device\HarddiskVolume7\Windows\System32\DriverStore\FileRepository\u0199096.inf_amd64_f59fa822db26c81a\B025834\amdihk64.dll	
2292		dxgi.dll!ThreadAffinitizedWorkerThread<enum MUTEX_COMMANDS>::WorkerThread																												Normal			9				22,429				6			0:8							12 kB | 1 MB (1.17%)	\Device\HarddiskVolume7\Windows\System32\dxgi.dll										
14504		combase.dll!CRpcThreadCache::RpcWorkerThreadEntry																															Normal			8				22,003				15			0:7							12 kB | 1 MB (1.17%)	\Device\HarddiskVolume7\Windows\System32\combase.dll										
