System Informer 3.2.2103
Windows NT 10.0 (64-bit)
5:41:22 AM 20/07/2026

TID	CPU	Start address																																				Priority (symbolic)	Priority	CPU (user)	Cycles		Cycles delta	Context switches	Ideal processor	Name		Priority boost	Service	Stack usage		Start module															
6944		Overwatch.exe+0x2678fa0																																			Normal			8				87,842		365		1,934			0:10							64 kB | 1 MB (6.25%)																	
11012		Overwatch.exe+0x2678fa0																																			Normal			9				85,255				126			0:13							256 kB | 1 MB (25.00%)																	
11072		Overwatch.exe+0x2678fa0																																			Normal			8				84,608		354		3,847			0:5							32 kB | 1 MB (3.12%)																	
11036		Overwatch.exe+0x2859f90																																			Normal			9				54,202				9			0:13							128 kB | 1 MB (12.50%)																	
2592		dxgi.dll!FullscreenWatchdogThreadWorker																																	Normal			8				41,633		70		418			0:9							12 kB | 1 MB (1.17%)	\Device\HarddiskVolume7\Windows\System32\dxgi.dll										
11024		Overwatch.exe+0x1d7e430																																			Normal			8				35,964		98		980			0:12							8 kB | 1 MB (0.78%)																	
10916		InputHost.dll!<lambda_376318154f061e76a4fa5387c7eed0ca>::<lambda_invoker_cdecl>																												Normal			15				33,045				52			0:13							12 kB | 1 MB (1.17%)	\Device\HarddiskVolume7\Windows\System32\InputHost.dll										
944		dxgi.dll!ThreadAffinitizedWorkerThread<enum MUTEX_COMMANDS>::WorkerThread																												Normal			9				26,982				19			0:7							12 kB | 1 MB (1.17%)	\Device\HarddiskVolume7\Windows\System32\dxgi.dll										
11156		Overwatch.exe+0x2678fa0																																			Normal			9				24,249		731		196			0:15							36 kB | 1 MB (3.52%)																	
14124		ntdll.dll!TppWorkerThread																																		Normal			8				24,090				1			0:2							12 kB | 1 MB (1.17%)	\Device\HarddiskVolume7\Windows\System32\ntdll.dll										
7816		amdihk64.dll!NotifyFidelityFXGameVersion+0x37a0																																Normal			8				23,321				1			0:15							12 kB | 1 MB (1.17%)	\Device\HarddiskVolume7\Windows\System32\DriverStore\FileRepository\u0199096.inf_amd64_f59fa822db26c81a\B025834\amdihk64.dll	
2292		dxgi.dll!ThreadAffinitizedWorkerThread<enum MUTEX_COMMANDS>::WorkerThread																												Normal			9				22,429				6			0:8							12 kB | 1 MB (1.17%)	\Device\HarddiskVolume7\Windows\System32\dxgi.dll										
10992		Overwatch.exe+0x2678fa0																																			Normal			10				20,980		67		200			0:11							64 kB | 1 MB (6.25%)																	
11028		ntdll.dll!TppWorkerThread																																		Normal			9				20,355				48			0:1							16 kB | 1 MB (1.56%)	\Device\HarddiskVolume7\Windows\System32\ntdll.dll										
14128		ntdll.dll!TppWorkerThread																																		Normal			8				20,301				1			0:3							12 kB | 1 MB (1.17%)	\Device\HarddiskVolume7\Windows\System32\ntdll.dll										
11244		amdxx64.dll!boost::serialization::singleton<std::set<boost::serialization::void_cast_detail::void_caster const * __ptr64,boost::serialization::void_cast_detail::void_caster_compare,std::allocator<boost::serialization::void_cast_detail::void_caster const * __ptr64> > >::is_destroyed+0x329e0	Normal			9				17,348				6			0:5							8 kB | 1 MB (0.78%)	\Device\HarddiskVolume7\Windows\System32\DriverStore\FileRepository\u0199096.inf_amd64_f59fa822db26c81a\B025834\amdxx64.dll	
11032		ntdll.dll!TppWorkerThread																																		Normal			9				15,925				13			0:2							24 kB | 1 MB (2.34%)	\Device\HarddiskVolume7\Windows\System32\ntdll.dll										
10968		ntdll.dll!TppWorkerThread																																		Normal			9				13,921				28			0:5							12 kB | 1 MB (1.17%)	\Device\HarddiskVolume7\Windows\System32\ntdll.dll										
11008		Overwatch.exe+0x2678fa0																																			Normal			8				12,789		22		197			0:12							64 kB | 1 MB (6.25%)																	
10948		Overwatch.exe+0x2678fa0																																			Normal			9				12,702				14			0:1							128 kB | 1 MB (12.50%)																	
11016		ntdll.dll!TppWorkerThread																																		Normal			9				12,298				3			0:14							8 kB | 1 MB (0.78%)	\Device\HarddiskVolume7\Windows\System32\ntdll.dll										
10976		Overwatch.exe+0x2678fa0																																			Normal			9				9,437				16			0:7							64 kB | 1 MB (6.25%)																	
11160		Overwatch.exe+0x2678fa0																																			Normal			9				9,409				2			0:0							64 kB | 1 MB (6.25%)																	
10984		mswsock.dll!SockAsyncThread																																		Above normal		11				9,014				8			0:9							12 kB | 1 MB (1.17%)	\Device\HarddiskVolume7\Windows\System32\mswsock.dll										
10792		combase.dll!CRpcThreadCache::RpcWorkerThreadEntry																															Normal			8				8,913				9			0:9							8 kB | 1 MB (0.78%)	\Device\HarddiskVolume7\Windows\System32\combase.dll										
11092		Overwatch.exe+0x2678fa0																																			Normal			8				8,615				1			0:8							128 kB | 1 MB (12.50%)																	
10716		Overwatch_loader.dll+0x6e7f0																																		Normal			9				8,471				5			0:9							12 kB | 1 MB (1.17%)																	
11064		Overwatch.exe+0x2679008																																			Time critical		15				8,197				3			0:3							12 kB | 1 MB (1.17%)																	
11116		Overwatch.exe+0x2839b90																																			Above normal		9				7,294				38			0:14							128 kB | 1 MB (12.50%)																	
11052		Overwatch.exe+0x28e0920																																			Above normal		10				6,433				3			0:0							128 kB | 1 MB (12.50%)																	
11056		Overwatch.exe+0x28e0920																																			Above normal		10				6,362				3			0:1							128 kB | 1 MB (12.50%)																	
10988		Overwatch.exe+0x2678fa0																																			Normal			8				5,916		23		43			0:10							256 kB | 1 MB (25.00%)																	
10712		Overwatch_loader.dll+0x357b40																																		Normal			9				3,112				18			0:9							8 kB | 1 MB (0.78%)																	
10924		Overwatch.exe+0x1bf2260																																			Normal			8				2,712				1			0:0							128 kB | 1 MB (12.50%)																	
10704		Overwatch_loader.dll+0x35d190																																		Normal			10				153				8			0:9							4 kB | 1 MB (0.39%)																	
10708		Overwatch_loader.dll+0x403300																																		Normal			10				117				8			0:9							4 kB | 1 MB (0.39%)																	
